"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"2161";2021-04-01;"0000 UTC";"0";"948,4";"948,4";"948,1";"";"22,3";"9,7";"23,2";"22,1";"10,2";"9,7";47;43;45;277;"3,2";",5";1;4;2021
"2162";2021-04-01;"0100 UTC";"0";"948,5";"948,6";"948,4";"";"21,6";"9,9";"22,3";"20,6";"10,1";"9,4";50;44;47;291;"1,9";",1";1;4;2021
"2163";2021-04-01;"0200 UTC";"0";"948,4";"948,5";"948,4";"";"20,6";"10,4";"22";"20,6";"10,4";"9,8";52;46;52;264;"1,7";"0";1;4;2021
"2164";2021-04-01;"0300 UTC";"0";"948,6";"948,6";"948,4";"";"19,1";"11";"20,6";"18,9";"11,2";"10,4";60;52;60;235;"1,8";",1";1;4;2021
"2165";2021-04-01;"0400 UTC";"0";"948,4";"948,6";"948,4";"";"20,1";"10,5";"20,8";"19,1";"11,1";"10,4";60;52;54;296;"2,2";"0";1;4;2021
"2166";2021-04-01;"0500 UTC";"0";"948,2";"948,4";"948,1";"";"20,3";"10,6";"20,7";"20";"10,7";"10,4";55;52;54;311;"2,9";"1,3";1;4;2021
"2167";2021-04-01;"0600 UTC";"0";"948,6";"948,6";"948,2";"";"18,1";"10";"20,3";"18,1";"10,6";"10";59;52;59;295;"3";",2";1;4;2021
"2168";2021-04-01;"0700 UTC";"0";"948,8";"948,8";"948,6";"";"18";"9,8";"18,8";"17,9";"10,2";"9,7";59;57;59;249;"1,9";",7";1;4;2021
"2169";2021-04-01;"0800 UTC";"0";"949,3";"949,3";"948,8";"";"17,9";"9,2";"18,4";"17,9";"9,9";"8,9";59;54;57;261;"4,9";"1,7";1;4;2021
"2170";2021-04-01;"0900 UTC";"0";"949,5";"949,6";"949,2";"";"17,4";"10,1";"18";"17,4";"10,1";"9,2";62;56;62;258;"4,8";"1,8";1;4;2021
"2171";2021-04-01;"1000 UTC";"0";"950,2";"950,2";"949,5";"56,1";"18,2";"11,7";"18,2";"17,4";"11,7";"10,1";66;62;66;249;"5,3";"2";1;4;2021
"2172";2021-04-01;"1100 UTC";"0";"951";"951";"950,2";"878,7";"20,7";"12,4";"20,7";"18,2";"12,7";"11,7";66;59;59;243;"5,7";"2,7";1;4;2021
"2173";2021-04-01;"1200 UTC";"0";"951,5";"951,5";"951";"1789,6";"22,5";"10,8";"22,6";"20,7";"12,5";"10,8";59;47;47;230;"6,9";"3,8";1;4;2021
"2174";2021-04-01;"1300 UTC";"0";"951,7";"951,7";"951,4";"2565,3";"24,2";"10,1";"24,6";"22,5";"11,6";"9,6";48;39;41;204;"7,1";"3,2";1;4;2021
"2175";2021-04-01;"1400 UTC";"0";"951,6";"951,7";"951,6";"3090,7";"25,8";"10,7";"26,3";"24,2";"11";"8,9";42;35;39;225;"6,3";"2,1";1;4;2021
"2176";2021-04-01;"1500 UTC";"0";"951";"951,6";"951";"3291,3";"26,4";"8,5";"26,9";"25,5";"10,3";"8,3";39;31;32;229;"4,9";"2,2";1;4;2021
"2177";2021-04-01;"1600 UTC";"0";"950,1";"951";"950,1";"3389,8";"27,8";"7,7";"27,9";"26,2";"9,5";"6,9";34;27;28;356;"5";"1,4";1;4;2021
"2178";2021-04-01;"1700 UTC";"0";"949,3";"950,1";"949,3";"3229,4";"27,7";"6,7";"28,6";"26,9";"9";"6,2";31;26;26;337;"4,9";"1,5";1;4;2021
"2179";2021-04-01;"1800 UTC";"0";"948,8";"949,4";"948,7";"2618,2";"28,4";"7,6";"28,9";"27,7";"8,3";"6,1";28;25;27;200;"5";"2";1;4;2021
"2180";2021-04-01;"1900 UTC";"0";"948,7";"948,8";"948,6";"1555,8";"28,2";"8,8";"29";"27,8";"8,8";"7,1";30;26;30;24;"4,8";",3";1;4;2021
"2181";2021-04-01;"2000 UTC";"0";"948,8";"948,8";"948,5";"1146,5";"27,8";"7,9";"28,8";"27,4";"8,7";"7,5";30;27;29;321;"4,7";"1,9";1;4;2021
"2182";2021-04-01;"2100 UTC";"0";"949,3";"949,3";"948,7";"280,9";"25,7";"8,1";"27,9";"25,7";"8,4";"7,7";33;28;33;297;"5,7";"2,2";1;4;2021
"2183";2021-04-01;"2200 UTC";"0";"949,6";"949,6";"949,3";"";"24,6";"7,8";"25,7";"24,5";"8,1";"7,6";34;33;34;293;"5,3";"1,8";1;4;2021
"2184";2021-04-01;"2300 UTC";"0";"949,8";"949,9";"949,6";"";"23,8";"9";"24,7";"23,8";"9,1";"7,8";39;34;39;279;"4,8";"1,9";1;4;2021
