"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"5089";2021-08-01;"0000 UTC";"0";"962,2";"962,3";"961,9";"";"15,6";"3,3";"16,4";"15,6";"4,1";"3,3";45;43;44;253;"4,6";"2,2";1;8;2021
"5090";2021-08-01;"0100 UTC";"0";"962,3";"962,5";"962,1";"";"15,8";"2,9";"15,9";"15,4";"3,3";"2,9";44;42;42;236;"4,8";"2,4";1;8;2021
"5091";2021-08-01;"0200 UTC";"0";"962,3";"962,4";"962,1";"";"15,6";"3,2";"16";"15,4";"3,2";"2,8";44;41;43;249;"5,7";"2";1;8;2021
"5092";2021-08-01;"0300 UTC";"0";"962,7";"962,7";"962,3";"";"15,3";"3,8";"15,6";"15,2";"3,9";"3,2";46;43;46;255;"5,8";"1,9";1;8;2021
"5093";2021-08-01;"0400 UTC";"0";"963,3";"963,5";"962,7";"";"14,1";"3,7";"15,4";"14,1";"3,8";"3,5";50;46;50;296;"4,6";"1,4";1;8;2021
"5094";2021-08-01;"0500 UTC";"0";"963,3";"963,5";"962,9";"";"13,9";"3,7";"14,1";"13,9";"3,7";"3,5";50;49;50;289;"4,7";"1,9";1;8;2021
"5095";2021-08-01;"0600 UTC";"0";"963,8";"963,8";"963";"";"13,7";"4,3";"14,3";"13,7";"4,3";"3,7";53;50;53;343;"4,6";",9";1;8;2021
"5096";2021-08-01;"0700 UTC";"0";"963,5";"963,8";"963";"";"13,5";"4,4";"14";"13";"4,4";"3,7";56;50;54;292;"5,2";"1,2";1;8;2021
"5097";2021-08-01;"0800 UTC";"0";"963,8";"963,8";"963,3";"";"13,6";"4,5";"13,6";"13,4";"4,5";"4,3";55;54;54;164;"3,4";",6";1;8;2021
"5098";2021-08-01;"0900 UTC";"1,8";"963,1";"963,8";"963";"";"11,7";"7,3";"13,6";"11,3";"7,9";"4,5";79;54;75;204;"5,9";",6";1;8;2021
"5099";2021-08-01;"1000 UTC";"0";"963,7";"963,7";"963,1";"6,2";"12";"6,9";"12,1";"11,3";"8";"6,9";79;70;71;273;"5,2";"1,3";1;8;2021
"5100";2021-08-01;"1100 UTC";"0";"964,5";"964,7";"963,7";"87,4";"12,6";"7,3";"12,6";"11,4";"8,3";"6,9";80;69;70;283;"4,4";",3";1;8;2021
"5101";2021-08-01;"1200 UTC";"0";"964,9";"964,9";"964,4";"248,9";"13,2";"6,8";"13,2";"12,5";"7,4";"6,7";71;65;65;222;"4,7";"2,1";1;8;2021
"5102";2021-08-01;"1300 UTC";"0";"964,8";"965,1";"964,7";"1527,7";"16,2";"6,6";"16,4";"13,2";"7,6";"6,3";66;52;53;235;"5,2";"2,3";1;8;2021
"5103";2021-08-01;"1400 UTC";",2";"964,2";"964,8";"964,1";"2542,9";"18,6";"6,6";"18,8";"16";"7,5";"5,9";54;44;46;216;"6,5";"2,4";1;8;2021
"5104";2021-08-01;"1500 UTC";"0";"963,3";"964,2";"963,3";"2241,5";"20,8";"5,6";"20,9";"17,9";"7";"4,9";47;35;37;207;"5,2";"1,7";1;8;2021
