"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"8017";2021-12-01;"0000 UTC";"0";"945,9";"945,9";"945,2";"";"25";"9,9";"26,1";"24,2";"10,4";"9,5";41;36;39;344;"4,7";"1,6";1;12;2021
"8018";2021-12-01;"0100 UTC";"0";"946,7";"946,7";"945,9";"";"24,3";"10,4";"25,2";"23,9";"10,6";"9,8";43;38;42;332;"3,4";"1,8";1;12;2021
"8019";2021-12-01;"0200 UTC";"0";"946,6";"946,7";"946,6";"";"23,5";"11,2";"24,5";"23,4";"11,3";"10,5";46;42;46;335;"3,3";"1,6";1;12;2021
"8020";2021-12-01;"0300 UTC";"0";"946,4";"946,6";"946,4";"";"22";"11,3";"24";"22";"11,4";"11,1";51;45;51;1;"3,8";",9";1;12;2021
"8021";2021-12-01;"0400 UTC";"0";"945,9";"946,4";"945,9";"";"22,7";"11,8";"22,7";"20,9";"12,2";"11,3";57;50;50;335;"3,2";"1,7";1;12;2021
"8022";2021-12-01;"0500 UTC";"0";"945,7";"945,9";"945,7";"";"22";"11,9";"22,7";"21,8";"11,9";"11,6";53;50;53;327;"3,6";"1,7";1;12;2021
"8023";2021-12-01;"0600 UTC";"0";"945,8";"945,8";"945,7";"";"20";"12,1";"22,4";"20";"12,2";"11,8";60;52;60;10;"3,6";",1";1;12;2021
"8024";2021-12-01;"0700 UTC";"0";"946,2";"946,2";"945,7";"";"19,2";"12,3";"20,3";"19,2";"12,6";"12,1";64;60;64;127;"1,9";"0";1;12;2021
"8025";2021-12-01;"0800 UTC";"0";"946,7";"946,7";"946,2";"";"18,1";"12,8";"19,2";"17,8";"13";"12,3";72;64;71;131;",9";"0";1;12;2021
"8026";2021-12-01;"0900 UTC";"0";"947,2";"947,2";"946,7";"122,7";"20,5";"12,8";"20,7";"17,8";"13,3";"12,6";72;61;61;50;"2,1";",1";1;12;2021
"8027";2021-12-01;"1000 UTC";"0";"947,9";"947,9";"947,2";"997";"23,6";"13,1";"23,9";"20,5";"13,8";"12,5";62;49;52;284;"2,2";",7";1;12;2021
"8028";2021-12-01;"1100 UTC";"0";"948,7";"948,7";"947,9";"1928,2";"24,9";"12,4";"24,9";"23";"13,5";"11,8";52;45;46;339;"3,5";"1,8";1;12;2021
"8029";2021-12-01;"1200 UTC";"0";"949,1";"949,1";"948,7";"2748,4";"27,6";"11,5";"27,8";"24,9";"13,1";"11,2";48;36;37;150;"3,2";",5";1;12;2021
"8030";2021-12-01;"1300 UTC";"0";"948,9";"949,1";"948,9";"3427,5";"28,8";"10,4";"28,9";"27,2";"12,4";"9,6";39;31;32;349;"4,8";"1,7";1;12;2021
"8031";2021-12-01;"1400 UTC";"0";"948,7";"949";"948,7";"3867,4";"29,7";"11,6";"29,8";"28,6";"11,8";"9,7";34;30;33;15;"6,3";"2,3";1;12;2021
"8032";2021-12-01;"1500 UTC";"0";"948,2";"948,7";"948,2";"4056,4";"30,4";"10,8";"30,5";"29,1";"12,5";"9,8";34;29;30;347;"6,6";"1,8";1;12;2021
"8033";2021-12-01;"1600 UTC";"0";"947,7";"948,2";"947,7";"4030,4";"31";"10,9";"31";"29,7";"12,4";"9,5";33;27;29;30;"6,8";"2,9";1;12;2021
"8034";2021-12-01;"1700 UTC";"0";"946,9";"947,8";"946,9";"3746,3";"31,4";"9,6";"31,6";"30,3";"12";"9";31;25;26;30;"6,2";"2,1";1;12;2021
"8035";2021-12-01;"1800 UTC";"0";"946,3";"946,9";"946,3";"3223,2";"31,8";"10,1";"32,3";"31,3";"11,4";"7,3";29;22;26;327;"6";"2,1";1;12;2021
"8036";2021-12-01;"1900 UTC";"0";"945,6";"946,3";"945,6";"2442,3";"32,2";"11,3";"32,5";"31,3";"12,5";"9,6";31;25;28;317;"7,6";"1,4";1;12;2021
"8037";2021-12-01;"2000 UTC";"0";"945,4";"945,6";"945,3";"1536,6";"31,4";"11,1";"32,4";"31,3";"11,9";"10,1";30;26;29;279;"5,8";"1,5";1;12;2021
"8038";2021-12-01;"2100 UTC";"0";"945,7";"945,7";"945,4";"656,4";"30,5";"11";"31,6";"30,5";"11,3";"10,2";30;27;30;314;"4";"1";1;12;2021
"8039";2021-12-01;"2200 UTC";"0";"945,9";"945,9";"945,7";"28,8";"29,2";"10,5";"30,6";"28,4";"11,4";"10,3";34;30;31;279;"2,9";",7";1;12;2021
"8040";2021-12-01;"2300 UTC";"0";"946,5";"946,5";"945,9";"";"27,8";"11,7";"29,2";"27,8";"11,7";"10,5";37;31;37;250;"2,3";",1";1;12;2021
"8041";2021-12-02;"0000 UTC";"0";"947,1";"947,1";"946,5";"";"25,9";"12,6";"27,8";"25,9";"12,8";"11,7";44;37;44;128;"1,7";",6";2;12;2021
"8042";2021-12-02;"0100 UTC";"0";"947,6";"947,6";"947,1";"";"24,7";"13,2";"26,3";"24,6";"13,2";"12,6";49;43;49;19;"1,7";"0";2;12;2021
"8043";2021-12-02;"0200 UTC";"0";"947,7";"947,8";"947,6";"";"24,7";"13,2";"25,6";"24,4";"13,5";"12,9";50;46;49;344;"3,6";"1,3";2;12;2021
"8044";2021-12-02;"0300 UTC";"0";"947,1";"947,7";"947,1";"";"24,7";"11,1";"25,6";"24,6";"13,1";"10,8";49;40;43;287;"2,2";",1";2;12;2021
"8045";2021-12-02;"0400 UTC";"0";"947,1";"947,2";"947,1";"";"25,1";"12";"26,6";"24,3";"12";"11,1";45;39;44;179;"1,8";"0";2;12;2021
"8046";2021-12-02;"0500 UTC";"0";"946,9";"947,1";"946,8";"";"23,5";"13,8";"25,1";"23,5";"13,8";"12";54;44;54;35;"2,1";",4";2;12;2021
"8047";2021-12-02;"0600 UTC";"0";"946,8";"947";"946,8";"";"23,4";"14,4";"25";"23,4";"14,4";"12,6";57;46;57;120;"2,4";"0";2;12;2021
"8048";2021-12-02;"0700 UTC";"0";"947,1";"947,2";"946,8";"";"22,5";"15";"23,5";"22,3";"15,2";"14,3";63;57;63;114;"1";",2";2;12;2021
"8049";2021-12-02;"0800 UTC";"0";"948";"948";"947,1";"";"22,9";"14,6";"23,1";"21,8";"15,4";"14,5";67;59;59;216;"3,3";"1,5";2;12;2021
"8050";2021-12-02;"0900 UTC";"0";"949";"949";"948";"122,8";"22,3";"13,5";"23";"22,3";"14,6";"11,6";60;49;57;214;"6";"2,8";2;12;2021
"8051";2021-12-02;"1000 UTC";"0";"949,1";"949,1";"948,8";"1003,1";"23,3";"15,6";"23,3";"22,3";"15,8";"13,7";63;58;62;203;"8,8";"4,6";2;12;2021
"8052";2021-12-02;"1100 UTC";"0";"949,6";"949,6";"948,6";"1191,9";"24,2";"16,6";"24,2";"22,8";"16,6";"15,6";66;62;63;192;"10,7";"3,2";2;12;2021
"8053";2021-12-02;"1200 UTC";"0";"949,4";"949,6";"949,4";"2745,7";"26,4";"16,1";"26,7";"24,2";"16,9";"16,1";63;53;53;182;"8,3";"3,8";2;12;2021
"8054";2021-12-02;"1300 UTC";"0";"949,4";"949,5";"949,4";"3289,6";"28,4";"16,2";"28,4";"26";"17,2";"15,4";56;46;48;138;"7,4";"3,3";2;12;2021
"8055";2021-12-02;"1400 UTC";"0";"949";"949,4";"949";"3804,3";"29,6";"15,4";"29,7";"27,3";"17,1";"14,6";51;41;42;111;"6,8";"2,7";2;12;2021
"8056";2021-12-02;"1500 UTC";"0";"948,8";"949";"948,8";"4107,9";"30,3";"13,1";"31,3";"29,2";"16,2";"13";44;34;35;77;"5,6";"2";2;12;2021
"8057";2021-12-02;"1600 UTC";"0";"948,2";"948,8";"948,2";"4060,2";"31,8";"12,9";"32,2";"30,3";"14,5";"12,4";39;31;32;52;"6,4";"2,2";2;12;2021
"8058";2021-12-02;"1700 UTC";"0";"947,1";"948,2";"947,1";"3416,6";"31,8";"13,9";"33";"31";"14,1";"11,9";34;29;34;201;"6";"1,8";2;12;2021
"8059";2021-12-02;"1800 UTC";"0";"946,3";"947,1";"946,3";"1747,7";"32,4";"12,4";"32,4";"31,3";"13,4";"11,7";34;29;30;100;"5,8";"2,1";2;12;2021
"8060";2021-12-02;"1900 UTC";"0";"945,5";"946,3";"945,5";"2757";"33,3";"9,5";"34,2";"32,4";"13,6";"9,4";30;23;23;63;"5,9";"2,1";2;12;2021
"8061";2021-12-02;"2000 UTC";"0";"945,2";"945,5";"945,2";"1687,4";"32,7";"10,7";"33,9";"32,3";"11,6";"9,1";27;23;26;39;"5,6";"1,8";2;12;2021
"8062";2021-12-02;"2100 UTC";"0";"945,3";"945,3";"945,1";"658,1";"31,4";"9";"32,9";"31,4";"10,8";"9";27;24;25;7;"5";"1,3";2;12;2021
"8063";2021-12-02;"2200 UTC";"0";"945,8";"945,8";"945,3";"31,2";"29,6";"10,1";"31,4";"29,2";"10,4";"8,8";31;25;30;306;"2,9";",9";2;12;2021
"8064";2021-12-02;"2300 UTC";"0";"946,1";"946,2";"945,8";"";"28";"11,4";"29,9";"27,6";"11,5";"10,1";37;29;36;207;"1,7";"0";2;12;2021
"8065";2021-12-03;"0000 UTC";"0";"946,6";"946,6";"946,1";"";"27,9";"11,6";"28,7";"27,8";"11,6";"11";37;34;36;226;"2,2";",7";3;12;2021
"8066";2021-12-03;"0100 UTC";"0";"947,1";"947,1";"946,6";"";"28";"10,5";"28,1";"27,7";"11,5";"10,4";36;33;34;234;"2,5";"1,4";3;12;2021
"8067";2021-12-03;"0200 UTC";"0";"947";"947,2";"947";"";"25,4";"13,8";"28";"25";"13,9";"10,5";50;34;49;254;"2,6";",3";3;12;2021
"8068";2021-12-03;"0300 UTC";"0";"946,6";"947,1";"946,6";"";"25,6";"14,3";"26,2";"25,3";"14,3";"13,8";50;47;50;209;"2,4";",9";3;12;2021
"8069";2021-12-03;"0400 UTC";"0";"946";"946,6";"946";"";"25,1";"15,5";"25,6";"25,1";"15,5";"14,3";55;50;55;214;"5,9";"2,5";3;12;2021
"8070";2021-12-03;"0500 UTC";"0";"945,9";"946";"945,9";"";"23,6";"16,1";"25,1";"23,6";"16,1";"15,3";63;55;63;207;"8,1";"3,7";3;12;2021
"8071";2021-12-03;"0600 UTC";"0";"946,2";"946,2";"945,9";"";"22,5";"16";"23,6";"22,5";"16,2";"16";67;63;67;204;"7,4";"3,9";3;12;2021
"8072";2021-12-03;"0700 UTC";"0";"946,8";"946,8";"946,2";"";"21,5";"15,8";"22,5";"21,5";"16";"15,8";70;67;70;209;"8,6";"3,4";3;12;2021
"8073";2021-12-03;"0800 UTC";"0";"947,5";"947,5";"946,8";"";"20,6";"15,9";"21,5";"20,6";"15,9";"15,8";75;70;75;219;"7,1";"3,6";3;12;2021
"8074";2021-12-03;"0900 UTC";"0";"948,2";"948,2";"947,5";"118,5";"21";"15,9";"21";"20,4";"15,9";"15,8";75;73;73;227;"7,5";"2,9";3;12;2021
"8075";2021-12-03;"1000 UTC";"0";"949,1";"949,1";"948,2";"952,2";"22,3";"15,5";"22,3";"21";"16,1";"15,5";73;65;65;225;"8";"3,4";3;12;2021
"8076";2021-12-03;"1100 UTC";"0";"949,8";"949,8";"949,1";"1861,6";"23,9";"15,3";"24";"22,1";"15,9";"15";66;58;59;209;"8";"3,7";3;12;2021
"8077";2021-12-03;"1200 UTC";"0";"950,2";"950,2";"949,8";"2695,6";"25,2";"15,5";"25,6";"23,8";"16";"15,1";59;54;55;186;"8";"3,4";3;12;2021
"8078";2021-12-03;"1300 UTC";"0";"950";"950,3";"950";"3350,7";"27";"16,1";"27,7";"25,2";"16,6";"15,4";56;48;51;168;"8";"2,9";3;12;2021
