"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"745";2021-02-01;"0000 UTC";"0";"951";"951";"950,7";"";"20,9";"20,3";"21,2";"20,9";"20,5";"20,3";96;96;96;136;"4,1";"1,5";1;2;2021
"746";2021-02-01;"0100 UTC";"0";"951,1";"951,2";"950,9";"";"20,8";"20,2";"20,9";"20,8";"20,3";"20,2";96;96;96;169;"3,7";"1,5";1;2;2021
"747";2021-02-01;"0200 UTC";"0";"950,8";"951,1";"950,7";"";"20,6";"19,9";"20,8";"20,6";"20,2";"19,9";96;96;96;188;"3,7";"1,4";1;2;2021
"748";2021-02-01;"0300 UTC";"0";"950";"950,8";"950";"";"20,5";"19,8";"20,6";"20,3";"19,9";"19,7";96;96;96;205;"3,4";",9";1;2;2021
"749";2021-02-01;"0400 UTC";"0";"949,4";"950";"949,4";"";"20,2";"19,5";"20,5";"20,2";"19,8";"19,5";96;96;96;217;"1,7";",6";1;2;2021
"750";2021-02-01;"0500 UTC";"0";"949";"949,4";"948,9";"";"20";"19,3";"20,3";"19,8";"19,5";"19,1";96;96;96;181;"1,6";"0";1;2;2021
"751";2021-02-01;"0600 UTC";"0";"948,9";"949";"948,9";"";"19,8";"19,3";"20,1";"19,8";"19,6";"19,3";96;96;96;217;",6";"0";1;2;2021
"752";2021-02-01;"0700 UTC";"0";"948,9";"949";"948,9";"";"20";"19,4";"20";"19,7";"19,4";"19,2";97;96;97;187;"1";"0";1;2;2021
"753";2021-02-01;"0800 UTC";"0";"949,4";"949,4";"948,9";"";"19,8";"19,2";"20";"19,8";"19,5";"19,2";97;96;97;216;",9";"0";1;2;2021
"754";2021-02-01;"0900 UTC";"0";"949,9";"949,9";"949,4";"2,4";"19,9";"19,4";"19,9";"19,6";"19,4";"19";97;96;97;190;"2,9";"1,5";1;2;2021
"755";2021-02-01;"1000 UTC";"0";"950,3";"950,4";"949,9";"221,9";"20,8";"20,2";"20,8";"19,8";"20,2";"19,2";97;96;96;164;"3,5";"1,3";1;2;2021
"756";2021-02-01;"1100 UTC";"0";"951,2";"951,2";"950,3";"991,3";"20,9";"19,6";"21,5";"20,8";"20,2";"19,3";96;89;92;128;"4,4";"2,4";1;2;2021
"757";2021-02-01;"1200 UTC";"0";"951,8";"951,8";"951,1";"1104";"22,4";"20,2";"22,6";"20,9";"20,7";"19,5";93;87;88;138;"5,1";"2,1";1;2;2021
"758";2021-02-01;"1300 UTC";"0";"951,9";"952";"951,8";"1389";"23,6";"20,3";"23,8";"22,4";"20,8";"19,9";88;81;82;124;"5,1";"2,5";1;2;2021
"759";2021-02-01;"1400 UTC";"0";"951,7";"952";"951,7";"1489,7";"24,8";"20,4";"25,2";"23,2";"21";"20";84;76;76;127;"5,6";"2,7";1;2;2021
"760";2021-02-01;"1500 UTC";"0";"951,7";"951,7";"951,5";"2120,1";"25";"20,3";"25,7";"24,5";"21,1";"20";79;72;75;125;"5,5";"2,4";1;2;2021
"761";2021-02-01;"1600 UTC";"0";"950,4";"951,7";"950,4";"2590,6";"27";"21,2";"27";"25";"21,3";"19,8";78;69;71;179;"5,5";"1,5";1;2;2021
"762";2021-02-01;"1700 UTC";"0";"950,1";"950,4";"950,1";"1642,4";"27,2";"20,6";"27,4";"26";"21,5";"20,1";74;66;67;115;"5,6";"2,5";1;2;2021
"763";2021-02-01;"1800 UTC";"0";"949,2";"950,1";"949,2";"2892,7";"28,2";"21,6";"28,2";"26,7";"21,6";"20,1";70;65;68;74;"5,8";"2";1;2;2021
"764";2021-02-01;"1900 UTC";"0";"948,4";"949,2";"948,4";"1471,2";"27,4";"20,8";"28,3";"27,1";"21,4";"20,1";69;63;67;77;"5";",4";1;2;2021
"765";2021-02-01;"2000 UTC";"0";"948,2";"948,6";"948";"558,2";"26,4";"21,5";"27,5";"26,3";"21,5";"20,3";75;66;74;330;"3,8";"1,7";1;2;2021
"766";2021-02-01;"2100 UTC";"0";"948,9";"948,9";"948,1";"201,2";"25,5";"20,1";"26,4";"25,5";"21,5";"20";75;68;72;333;"4,7";"2,9";1;2;2021
