"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"4345";2021-07-01;"0000 UTC";"0";"961,1";"961,1";"960,9";"";"11,7";"2,7";"12";"11,6";"2,8";"2,4";54;52;54;285;"3,4";",7";1;7;2021
"4346";2021-07-01;"0100 UTC";"0";"961,2";"961,2";"961,1";"";"10";"2,8";"11,7";"10";"3";"2,6";61;54;61;257;"2,9";"0";1;7;2021
"4347";2021-07-01;"0200 UTC";"0";"961,1";"961,6";"961,1";"";"9,9";"2,3";"10";"9,5";"3";"2,3";62;59;59;241;"0";"0";1;7;2021
"4348";2021-07-01;"0300 UTC";"0";"960,7";"961,1";"960,7";"";"9,7";"1,9";"10";"9,7";"2,4";"1,8";59;57;58;244;"3,2";"1,5";1;7;2021
"4349";2021-07-01;"0400 UTC";"0";"960,8";"960,8";"960,6";"";"9,2";"2";"9,9";"9,2";"2,2";"1,8";61;58;61;249;"3,9";"1,5";1;7;2021
"4350";2021-07-01;"0500 UTC";"0";"960,5";"960,8";"960,5";"";"8,6";"2,4";"9,3";"8,6";"2,6";"2,1";65;61;65;236;"4,5";"2,2";1;7;2021
"4351";2021-07-01;"0600 UTC";"0";"960,1";"960,5";"960,1";"";"8";"2";"8,7";"7,7";"2,4";"1,9";68;65;66;243;"5,2";"1,4";1;7;2021
"4352";2021-07-01;"0700 UTC";"0";"960,4";"960,4";"960,1";"";"7,5";"1,9";"8,1";"6,9";"2,1";"1,5";70;65;67;250;"3,5";",2";1;7;2021
"4353";2021-07-01;"0800 UTC";"";"";"";"";"";"";"";"";"";"";"";.;.;.;.;"";"";1;7;2021
"4354";2021-07-01;"0900 UTC";"0";"961,3";"961,3";"960,5";"";"6,8";"2";"7,7";"6,8";"2,2";"1,8";71;67;71;246;"4,6";",5";1;7;2021
