"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"3625";2021-06-01;"0000 UTC";"0";"955,7";"955,9";"955,7";"";"17,3";"16,7";"17,4";"17,1";"16,8";"16,4";96;95;96;329;"0";"0";1;6;2021
"3626";2021-06-01;"0100 UTC";"0";"955,4";"955,7";"955,4";"";"16,9";"16,4";"17,3";"16,9";"16,7";"16,4";97;96;97;320;"1,3";",7";1;6;2021
"3627";2021-06-01;"0200 UTC";"0";"955,3";"955,5";"955,2";"";"17,1";"16,5";"17,5";"16,6";"17";"16,1";97;96;96;298;"2,7";",4";1;6;2021
"3628";2021-06-01;"0300 UTC";"0";"955,2";"955,4";"955,1";"";"16,6";"16";"17,2";"16,2";"16,7";"15,6";97;96;97;208;"1,7";",2";1;6;2021
"3629";2021-06-01;"0400 UTC";"0";"954,7";"955,1";"954,7";"";"16,5";"16";"16,8";"16,4";"16,3";"15,8";97;97;97;272;"3,2";"1,5";1;6;2021
"3630";2021-06-01;"0500 UTC";"0";"954,2";"954,7";"954,2";"";"16";"15,5";"16,5";"16";"16";"15,5";97;97;97;249;"3,7";",1";1;6;2021
"3631";2021-06-01;"0600 UTC";"0";"953,5";"954,2";"953,5";"";"16,5";"16,1";"16,5";"15,9";"16,1";"15,4";97;97;97;276;"3,4";"2";1;6;2021
"3632";2021-06-01;"0700 UTC";"0";"953,5";"953,5";"953,3";"";"15,7";"15,2";"16,7";"15,7";"16,2";"15,2";97;97;97;288;"4,3";"0";1;6;2021
"3633";2021-06-01;"0800 UTC";"0";"953,1";"953,5";"953";"";"15,3";"14,9";"15,7";"15,2";"15,2";"14,8";97;97;97;313;"3";",1";1;6;2021
"3634";2021-06-01;"0900 UTC";"0";"953,1";"953,2";"952,9";"";"15,3";"14,8";"15,5";"15,2";"15,1";"14,8";97;97;97;207;"2,2";",1";1;6;2021
"3635";2021-06-01;"1000 UTC";",2";"954,3";"954,3";"953,1";"10,5";"14,3";"13,9";"15,3";"14,1";"14,8";"13,7";97;97;97;97;"1,1";"0";1;6;2021
"3636";2021-06-01;"1100 UTC";"0";"954,9";"954,9";"954,3";"314";"15";"14,6";"15,3";"14,3";"14,8";"13,9";97;97;97;266;"2,5";",9";1;6;2021
"3637";2021-06-01;"1200 UTC";"0";"955,7";"955,7";"954,9";"357,5";"15,4";"15";"15,5";"14,9";"15,1";"14,5";97;97;97;230;"2,9";",7";1;6;2021
"3638";2021-06-01;"1300 UTC";"0";"955,7";"955,8";"955,6";"699,6";"17,2";"16,8";"17,2";"15,4";"16,8";"15";97;97;97;192;"3,9";"1,9";1;6;2021
"3639";2021-06-01;"1400 UTC";"0";"955,4";"955,7";"955,4";"1292";"18,9";"16,6";"18,9";"17,2";"17,8";"16,5";97;86;87;184;"4,6";"2";1;6;2021
"3640";2021-06-01;"1500 UTC";"0";"954,9";"955,5";"954,9";"1419,8";"20,1";"16,7";"20,2";"18,8";"17,2";"16";87;79;81;133;"4,1";"1,7";1;6;2021
"3641";2021-06-01;"1600 UTC";"0";"953,9";"954,9";"953,9";"2619";"21,2";"15,4";"21,5";"19,9";"16,8";"15,3";81;69;70;114;"5";"1,8";1;6;2021
"3642";2021-06-01;"1700 UTC";"0";"953,3";"953,9";"953,3";"2115,4";"21,5";"14,9";"22,8";"20,9";"16,9";"14,8";73;63;66;139;"4,7";"1,6";1;6;2021
"3643";2021-06-01;"1800 UTC";"0";"952,4";"953,3";"952,4";"1476,6";"22,7";"15,3";"23,1";"21,3";"16,1";"14,9";68;62;63;152;"4,6";"1,3";1;6;2021
"3644";2021-06-01;"1900 UTC";"0";"951,9";"952,4";"951,9";"1244";"23,1";"15,4";"23,6";"22,5";"15,9";"14,8";64;59;62;127;"3,8";"1,6";1;6;2021
"3645";2021-06-01;"2000 UTC";"0";"952";"952";"951,8";"518,3";"22,5";"15,2";"23,1";"22,5";"15,7";"14,9";64;60;63;148;"3,1";",8";1;6;2021
"3646";2021-06-01;"2100 UTC";"0";"952";"952,1";"952";"17,3";"19,7";"15,9";"22,5";"19,5";"16,2";"15";80;63;79;235;"2";"0";1;6;2021
"3647";2021-06-01;"2200 UTC";"0";"952,2";"952,2";"951,8";"";"19,6";"15,5";"20";"19,2";"16,6";"15,5";82;77;77;228;"2,1";"1";1;6;2021
