"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"1417";2021-03-01;"0000 UTC";"0";"949,8";"949,8";"949,1";"";"23,1";"17,8";"24,1";"23,1";"18,7";"17,8";74;70;72;199;"8,5";"3,4";1;3;2021
"1418";2021-03-01;"0100 UTC";"0";"950,1";"950,1";"949,8";"";"22,5";"18,5";"23,1";"22,5";"18,5";"17,8";78;72;78;195;"8,9";"3,6";1;3;2021
"1419";2021-03-01;"0200 UTC";"0";"949,7";"950,2";"949,7";"";"21,9";"18,7";"22,5";"21,9";"18,7";"18,3";82;78;82;201;"7,4";"3,3";1;3;2021
"1420";2021-03-01;"0300 UTC";"0";"949,5";"949,7";"949,5";"";"21,4";"18,8";"21,8";"21,4";"18,8";"18,7";86;82;86;203;"9,7";"4,4";1;3;2021
"1421";2021-03-01;"0400 UTC";"0";"949";"949,6";"948,9";"";"21,3";"18,8";"21,4";"21,3";"18,9";"18,8";86;86;86;215;"8,7";"3,5";1;3;2021
"1422";2021-03-01;"0500 UTC";"0";"948,8";"949";"948,6";"";"20,8";"18,3";"21,3";"20,8";"18,8";"18,2";86;85;85;190;"7,8";"2,9";1;3;2021
"1423";2021-03-01;"0600 UTC";"0";"948,6";"948,9";"948,5";"";"20,5";"18";"20,8";"20,4";"18,3";"17,9";87;85;86;192;"6,7";"1,3";1;3;2021
"1424";2021-03-01;"0700 UTC";"0";"948,4";"948,6";"948,2";"";"20,5";"17,4";"20,6";"20,5";"18";"17,4";86;82;83;214;"6,8";"2,7";1;3;2021
"1425";2021-03-01;"0800 UTC";"0";"949,1";"949,1";"948,4";"";"20,1";"17,3";"20,5";"20,1";"17,5";"17,2";83;82;83;205;"6";"2";1;3;2021
"1426";2021-03-01;"0900 UTC";"0";"949,5";"949,5";"949,1";"";"20";"17,6";"20,3";"20";"17,6";"17,2";86;83;86;206;"6,6";"2,8";1;3;2021
"1427";2021-03-01;"1000 UTC";"0";"950,1";"950,1";"949,5";"190,5";"21,1";"17,4";"21,1";"19,9";"17,7";"17,4";86;80;80;209;"6,6";"3";1;3;2021
"1428";2021-03-01;"1100 UTC";"0";"950,7";"950,7";"950,1";"1065,5";"22,8";"17,4";"23,2";"21,1";"18";"17,2";80;71;72;203;"8,3";"3,4";1;3;2021
