"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"2881";2021-05-01;"0000 UTC";"0";"956,2";"956,2";"955,9";"";"20,5";"11,3";"21,4";"20,3";"11,3";"11,2";56;52;56;228;"6,3";"2,9";1;5;2021
"2882";2021-05-01;"0100 UTC";"0";"956,3";"956,3";"956,2";"";"19,8";"11,4";"20,5";"19,8";"11,4";"11,3";59;56;59;229;"7,1";"3";1;5;2021
"2883";2021-05-01;"0200 UTC";"0";"956,2";"956,4";"956,2";"";"19,1";"11,5";"19,8";"19,1";"11,5";"11,4";61;59;61;234;"8,5";"2,8";1;5;2021
"2884";2021-05-01;"0300 UTC";"0";"956,1";"956,3";"956,1";"";"18,5";"11,5";"19,1";"18,4";"11,5";"11,4";64;61;64;223;"7,5";"2,9";1;5;2021
"2885";2021-05-01;"0400 UTC";"0";"955,7";"956,1";"955,7";"";"18,2";"11,5";"18,5";"18,1";"11,5";"11,4";65;64;65;237;"6,8";"3,5";1;5;2021
"2886";2021-05-01;"0500 UTC";"0";"955,5";"955,8";"955,5";"";"17,8";"11,1";"18,2";"17,8";"11,5";"11,1";65;65;65;236;"8,3";"4,3";1;5;2021
"2887";2021-05-01;"0600 UTC";"0";"955,1";"955,5";"955,1";"";"17,6";"10,9";"17,8";"17,6";"11,1";"10,9";65;65;65;227;"10,3";"4";1;5;2021
"2888";2021-05-01;"0700 UTC";"0";"954,9";"955,2";"954,9";"";"17,4";"10,7";"17,6";"17,3";"10,9";"10,7";65;64;65;227;"9";"3,6";1;5;2021
"2889";2021-05-01;"0800 UTC";"0";"955,3";"955,3";"954,9";"";"17,4";"10,4";"17,5";"17,3";"10,7";"10,4";65;63;63;218;"8,3";"2,2";1;5;2021
"2890";2021-05-01;"0900 UTC";"0";"955,9";"955,9";"955,3";"";"17,1";"10,6";"17,5";"17";"10,6";"10,3";66;63;66;245;"6,3";"1,4";1;5;2021
"2891";2021-05-01;"1000 UTC";"0";"956,6";"956,6";"955,8";"29,9";"17,2";"10,9";"17,2";"16,7";"10,9";"10,4";67;66;67;223;"5";"1,6";1;5;2021
"2892";2021-05-01;"1100 UTC";"0";"957,2";"957,2";"956,6";"589,3";"19,1";"11,3";"19,1";"17,2";"11,4";"11";67;61;61;212;"6,8";"3,2";1;5;2021
"2893";2021-05-01;"1200 UTC";"0";"957,7";"957,7";"957,2";"1431,6";"21,2";"11,9";"21,3";"19,1";"12";"11,3";61;55;56;199;"9,3";"2,9";1;5;2021
"2894";2021-05-01;"1300 UTC";"0";"958,1";"958,1";"957,7";"2124,7";"23,4";"12,4";"23,6";"21,2";"12,8";"11,9";56;49;50;182;"7,5";"2,7";1;5;2021
"2895";2021-05-01;"1400 UTC";"0";"957,5";"958,1";"957,5";"2603";"24,9";"12,7";"25,4";"23,4";"13,1";"12,1";51;45;47;203;"8";"3,3";1;5;2021
"2896";2021-05-01;"1500 UTC";"0";"956,8";"957,6";"956,7";"2729,3";"25,7";"13,3";"26,4";"24,2";"14";"12,3";49;44;46;174;"7,7";"3,3";1;5;2021
