"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"7297";2021-11-01;"0000 UTC";"0";"952";"952";"951,4";"";"21,3";"16,5";"21,8";"21,3";"16,8";"16,5";74;73;74;223;"4";"1,6";1;11;2021
"7298";2021-11-01;"0100 UTC";"0";"952,5";"952,5";"952";"";"20,9";"16,5";"21,3";"20,8";"16,6";"16,3";76;74;76;235;"3,8";"1,4";1;11;2021
"7299";2021-11-01;"0200 UTC";"0";"952,6";"952,6";"952,4";"";"20,4";"16,4";"20,9";"20,4";"16,5";"16,2";78;76;78;249;"3,5";"1,6";1;11;2021
"7300";2021-11-01;"0300 UTC";"0";"952,2";"952,6";"952,1";"";"19,7";"16,4";"20,4";"19,6";"16,5";"16,1";81;78;81;269;"3,2";",7";1;11;2021
"7301";2021-11-01;"0400 UTC";"0";"951,4";"952,2";"951,4";"";"19,2";"16,1";"19,7";"19,2";"16,5";"16,1";83;81;82;273;"2,8";"1,1";1;11;2021
"7302";2021-11-01;"0500 UTC";"0";"951,2";"951,4";"951,1";"";"19";"15,6";"19,5";"18,9";"16,3";"15,4";82;80;80;259;"3,5";",7";1;11;2021
"7303";2021-11-01;"0600 UTC";"0";"951,1";"951,2";"951,1";"";"18,6";"15,2";"19,1";"18,5";"15,5";"15";81;79;80;295;"3,1";",6";1;11;2021
"7304";2021-11-01;"0700 UTC";"0";"950,9";"951,1";"950,9";"";"18,3";"15,6";"18,9";"18,1";"15,6";"15";84;79;84;277;"2,7";",9";1;11;2021
"7305";2021-11-01;"0800 UTC";"0";"950,9";"951";"950,8";"";"17,9";"15,6";"18,4";"17,9";"15,8";"15,4";87;83;86;296;"3,8";"1,4";1;11;2021
"7306";2021-11-01;"0900 UTC";"0";"951,2";"951,2";"950,9";"107,5";"18,1";"15,4";"18,1";"17,9";"15,6";"15,2";86;84;84;297;"3,9";"1,6";1;11;2021
"7307";2021-11-01;"1000 UTC";"0";"951,7";"951,7";"951,2";"870,4";"20,3";"14,9";"20,3";"18,1";"15,4";"14,7";84;71;71;283;"4,3";"1,5";1;11;2021
"7308";2021-11-01;"1100 UTC";"0";"952,2";"952,2";"951,7";"1790,8";"22,5";"14,3";"22,7";"20,2";"15,8";"14,3";72;60;60;257;"4,8";"1,9";1;11;2021
"7309";2021-11-01;"1200 UTC";"0";"952,2";"952,3";"952,1";"2638,6";"24,7";"13,9";"24,8";"22,4";"16,1";"13,4";64;50;51;228;"7,5";"3,1";1;11;2021
"7310";2021-11-01;"1300 UTC";"0";"952,1";"952,3";"952,1";"3318,4";"25,3";"13,7";"25,7";"24,5";"14,9";"13,4";52;47;49;200;"6,8";"2,8";1;11;2021
"7311";2021-11-01;"1400 UTC";"0";"951,7";"952,2";"951,7";"3107";"26,3";"13,5";"26,5";"25,2";"15";"13,1";51;45;45;186;"5,4";"2,1";1;11;2021
