"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"6553";2021-10-01;"0000 UTC";"0";"947,4";"947,5";"947,3";"";"26,6";"13";"27,9";"26,6";"13";"12,5";43;39;43;210;"9";"4,2";1;10;2021
"6554";2021-10-01;"0100 UTC";"0";"947,7";"947,8";"947,4";"";"25,6";"13,5";"26,6";"25,6";"13,5";"13";47;43;47;215;"9";"3,2";1;10;2021
"6555";2021-10-01;"0200 UTC";"0";"947,4";"947,7";"947,4";"";"25";"13,6";"25,6";"24,8";"13,6";"13,5";50;47;49;209;"8,5";"4,2";1;10;2021
"6556";2021-10-01;"0300 UTC";"0";"946,9";"947,5";"946,9";"";"23,9";"13,6";"25";"23,9";"13,6";"13,5";53;49;53;204;"8,3";"3,4";1;10;2021
"6557";2021-10-01;"0400 UTC";"0";"946,1";"946,9";"946,1";"";"23,6";"13,5";"23,9";"23,5";"13,6";"13,5";54;53;53;199;"7,4";"3,7";1;10;2021
"6558";2021-10-01;"0500 UTC";"0";"946,1";"946,1";"945,5";"";"23,2";"13,4";"23,6";"23,1";"13,5";"13,4";54;53;54;202;"8";"2";1;10;2021
"6559";2021-10-01;"0600 UTC";"0";"945,6";"946,2";"945,6";"";"22,8";"13,4";"23,2";"22,8";"13,5";"13,4";56;54;55;194;"6,1";"2,5";1;10;2021
"6560";2021-10-01;"0700 UTC";"0";"945,7";"945,8";"945,5";"";"22,3";"13,4";"22,9";"22,3";"13,5";"13,4";57;55;57;186;"6,6";"2,4";1;10;2021
"6561";2021-10-01;"0800 UTC";"0";"946,3";"946,3";"945,7";"";"21,5";"13,6";"22,3";"21,4";"13,6";"13,4";61;57;61;159;"6";"1,5";1;10;2021
"6562";2021-10-01;"0900 UTC";"0";"947";"947";"946,3";"2,1";"21,8";"13,5";"21,8";"21,3";"13,6";"13,5";61;59;59;185;"4,5";"1,8";1;10;2021
"6563";2021-10-01;"1000 UTC";"0";"948,1";"948,1";"947";"231,1";"22,6";"13,7";"22,6";"21,8";"13,7";"13,5";59;57;57;169;"4,4";"2";1;10;2021
"6564";2021-10-01;"1100 UTC";"0";"948,4";"948,5";"948,1";"1038,5";"24,5";"14";"24,5";"22,6";"14,1";"13,6";57;51;52;151;"6,1";"2,4";1;10;2021
"6565";2021-10-01;"1200 UTC";"0";"948,4";"948,6";"948,3";"1139,4";"26,3";"13,5";"26,3";"24,3";"14,2";"13,5";52;45;45;150;"6,5";"2,2";1;10;2021
"6566";2021-10-01;"1300 UTC";"0";"950,6";"950,6";"948,3";"356,2";"25,2";"13,5";"26,7";"25,2";"13,8";"13,1";48;43;48;356;"16,1";"4,4";1;10;2021
"6567";2021-10-01;"1400 UTC";"11,4";"952,7";"954,1";"950,6";"16,8";"18";"17,1";"25,1";"17,7";"17,1";"13,4";95;49;95;302;"20,1";"3,8";1;10;2021
"6568";2021-10-01;"1500 UTC";"6,2";"951,2";"952,9";"951,2";"40,8";"18,4";"17,6";"18,5";"18";"17,7";"17,1";95;95;95;259;"10,6";"3,7";1;10;2021
"6569";2021-10-01;"1600 UTC";"3,6";"950,7";"951,2";"949,2";"148,2";"18,8";"17,4";"19";"18,4";"17,7";"17,3";95;91;91;269;"11";"3,2";1;10;2021
"6570";2021-10-01;"1700 UTC";"3";"950,5";"951,4";"950";"111,5";"18,6";"17,3";"18,9";"18,5";"17,5";"17,2";93;91;92;288;"7,7";"1,5";1;10;2021
"6571";2021-10-01;"1800 UTC";"6,8";"949,8";"952,1";"949,8";"61,1";"17,8";"16,6";"18,6";"17,7";"17,4";"16,6";94;92;93;245;"9,6";"4,3";1;10;2021
"6572";2021-10-01;"1900 UTC";",2";"949,3";"949,8";"948,5";"201,4";"18,1";"15,6";"18,2";"17,7";"16,6";"15,6";93;85;85;194;"9";"2,9";1;10;2021
"6573";2021-10-01;"2000 UTC";"0";"949";"949,8";"948,5";"127,3";"18,6";"15,3";"18,7";"18";"15,6";"15,1";86;80;81;248;"5,8";"2,4";1;10;2021
"6574";2021-10-01;"2100 UTC";"0";"949,1";"949,7";"948,2";"150,5";"19,4";"14,1";"19,8";"18,6";"15,3";"14,1";81;70;72;281;"6,7";"2,6";1;10;2021
"6575";2021-10-01;"2200 UTC";"0";"948,5";"949,1";"948,2";",8";"19,9";"12,8";"20";"19";"14,1";"12,8";72;63;64;222;"6,5";"2";1;10;2021
"6576";2021-10-01;"2300 UTC";"0";"950,4";"950,4";"948,4";"";"20,1";"12,9";"20,1";"18,7";"13,5";"12,7";71;63;63;306;"4,4";"1,4";1;10;2021
"6577";2021-10-02;"0000 UTC";"0";"951,3";"951,4";"950,1";"";"17,6";"14,4";"20,1";"17,6";"14,4";"12,7";81;63;81;104;"5";"1,5";2;10;2021
"6578";2021-10-02;"0100 UTC";"0";"951,3";"951,7";"950,9";"";"17,3";"15,2";"18,1";"17,3";"15,2";"14,1";87;78;87;121;"5";"1,8";2;10;2021
"6579";2021-10-02;"0200 UTC";"0";"950,5";"951,3";"950,5";"";"16,8";"15,8";"17,3";"16,7";"15,8";"15,2";94;87;94;155;"3,8";"1,6";2;10;2021
"6580";2021-10-02;"0300 UTC";"0";"948,6";"950,6";"948,6";"";"17";"15,8";"17,1";"16,6";"16,1";"15,7";94;92;92;237;"5,3";"2,8";2;10;2021
"6581";2021-10-02;"0400 UTC";"0";"949,3";"949,4";"948,5";"";"17,5";"15,4";"17,8";"17";"15,9";"15,1";92;86;87;218;"5,4";",6";2;10;2021
"6582";2021-10-02;"0500 UTC";"0";"949,2";"949,5";"949";"";"17,8";"15,3";"17,9";"17,5";"15,6";"15,3";87;85;85;225;"2,8";"1,5";2;10;2021
"6583";2021-10-02;"0600 UTC";"0";"949,3";"950";"948,8";"";"17,8";"15,5";"18,2";"17,6";"15,5";"15,1";87;83;87;164;"3,3";",6";2;10;2021
"6584";2021-10-02;"0700 UTC";"0";"948,2";"949,3";"948,2";"";"18,1";"15,2";"18,2";"17,8";"15,6";"15,2";87;83;83;220;"3,6";"2,1";2;10;2021
"6585";2021-10-02;"0800 UTC";",4";"947,6";"948,4";"947,6";"";"18,2";"15,8";"18,7";"18,1";"15,8";"15,3";86;81;86;274;"4,6";"1,1";2;10;2021
"6586";2021-10-02;"0900 UTC";",4";"947,8";"947,8";"946,8";"5,9";"18";"16";"18,2";"17,9";"16,2";"15,9";90;86;88;188;"6";"2,7";2;10;2021
"6587";2021-10-02;"1000 UTC";"0";"951,3";"951,3";"947,8";"225,8";"18,2";"16,5";"18,3";"17,9";"16,6";"15,8";90;87;90;329;"7,7";"3,2";2;10;2021
"6588";2021-10-02;"1100 UTC";",6";"953,6";"953,8";"951,4";"34,6";"17,5";"16,3";"18,5";"17,4";"16,5";"15,9";93;87;93;312;"11,8";"3,1";2;10;2021
"6589";2021-10-02;"1200 UTC";"3,8";"953,3";"954,2";"953,2";"125,8";"17,5";"16,6";"17,5";"17,3";"16,6";"16,3";95;93;95;288;"7,1";"2,5";2;10;2021
"6590";2021-10-02;"1300 UTC";"1,6";"953,5";"953,5";"952,6";"217,8";"17,6";"16,7";"17,6";"17,5";"16,8";"16,6";95;94;95;309;"8,1";"2";2;10;2021
"6591";2021-10-02;"1400 UTC";"4,6";"951,7";"954,3";"951,7";"156,5";"17,8";"17,1";"17,9";"17,6";"17,1";"16,7";95;95;95;181;"6,6";"3,4";2;10;2021
"6592";2021-10-02;"1500 UTC";",8";"949,7";"951,7";"948,9";"624,8";"19,2";"17,5";"19,2";"17,6";"17,5";"16,8";96;90;90;213;"9,7";"2,8";2;10;2021
"6593";2021-10-02;"1600 UTC";"0";"949,9";"949,9";"949,2";"892,8";"19,6";"16,2";"20,4";"19,2";"17,8";"16,2";89;79;81;279;"6,6";"2,3";2;10;2021
"6594";2021-10-02;"1700 UTC";"8,2";"949";"950";"949";"124,7";"18,1";"17";"19,6";"18,1";"17";"15,9";93;81;93;211;"6";"2,8";2;10;2021
"6595";2021-10-02;"1800 UTC";",2";"947,9";"949";"947,9";"556,5";"19";"17,3";"19,1";"18,1";"17,6";"17";94;90;90;207;"6,8";"3,1";2;10;2021
"6596";2021-10-02;"1900 UTC";"0";"947,7";"947,9";"947";"289,7";"19";"17,4";"19,2";"19";"17,4";"17,2";90;89;90;195;"7";"2,8";2;10;2021
"6597";2021-10-02;"2000 UTC";"3,8";"948,8";"949,1";"947,7";"9,1";"18,7";"17,7";"19,1";"18,7";"17,7";"17,4";94;90;94;196;"5,6";"2,5";2;10;2021
"6598";2021-10-02;"2100 UTC";"3,2";"948";"949";"947,8";"2,2";"18,5";"17,7";"18,7";"18,5";"17,8";"17,6";95;94;95;244;"5,4";"1,9";2;10;2021
"6599";2021-10-02;"2200 UTC";"1,4";"949,2";"949,2";"947";"";"18,6";"17,7";"18,6";"18,4";"17,7";"17,6";95;95;95;302;"5,4";",8";2;10;2021
"6600";2021-10-02;"2300 UTC";"2,6";"947,5";"949,3";"947,4";"";"18,5";"17,7";"18,6";"18,4";"17,8";"17,6";95;95;95;257;"8";"3,8";2;10;2021
"6601";2021-10-03;"0000 UTC";"4,8";"948,1";"949,3";"947,5";"";"18,2";"17,4";"18,6";"18,2";"17,7";"17,4";95;95;95;213;"8";"2,3";3;10;2021
"6602";2021-10-03;"0100 UTC";"3,4";"948,1";"949,7";"947,9";"";"18,2";"17,5";"18,2";"18,1";"17,5";"17,3";96;95;96;202;"5,9";"2,3";3;10;2021
"6603";2021-10-03;"0200 UTC";",2";"948";"948,2";"947,9";"";"18,2";"17,5";"18,3";"18,2";"17,5";"17,4";96;95;95;181;"5,7";",2";3;10;2021
"6604";2021-10-03;"0300 UTC";"0";"951,5";"951,6";"948";"";"18,4";"17,6";"18,5";"18,2";"17,7";"17,4";96;95;95;1;"9,2";"4";3;10;2021
"6605";2021-10-03;"0400 UTC";",8";"948,1";"951,5";"947,9";"";"18,1";"17,4";"18,4";"18";"17,6";"17,3";96;95;96;199;"9,2";"2,6";3;10;2021
"6606";2021-10-03;"0500 UTC";"0";"946,5";"948,1";"946,5";"";"18";"17,3";"18,1";"17,9";"17,3";"17,2";96;96;96;194;"5,7";"3";3;10;2021
"6607";2021-10-03;"0600 UTC";"0";"945,7";"946,5";"945,7";"";"18,7";"16,7";"18,8";"18";"17,5";"16,7";96;88;88;187;"10,1";"4,3";3;10;2021
"6608";2021-10-03;"0700 UTC";"0";"945,5";"945,7";"945,4";"";"18,6";"16,4";"18,7";"18,5";"16,6";"16,3";88;86;87;166;"9,3";"1,5";3;10;2021
"6609";2021-10-03;"0800 UTC";"0";"945,4";"945,5";"945,2";"";"19,3";"16";"19,3";"18,6";"16,5";"16";87;81;81;169;"7,7";"3,1";3;10;2021
"6610";2021-10-03;"0900 UTC";"0";"946,2";"946,2";"945,3";",4";"18,9";"15,9";"19,3";"18,8";"16";"15,8";83;81;83;163;"7,7";"2,2";3;10;2021
"6611";2021-10-03;"1000 UTC";"3";"947,6";"948,8";"946,3";"18,8";"18,1";"17,1";"18,9";"18";"17,2";"15,9";94;83;94;272;"9,8";"2,5";3;10;2021
"6612";2021-10-03;"1100 UTC";",2";"947,6";"948,5";"947,6";"213,7";"18,5";"17,5";"18,6";"18";"17,6";"17,1";95;94;94;249;"7";"1,9";3;10;2021
"6613";2021-10-03;"1200 UTC";"14,4";"950,3";"951,1";"947,6";"48,9";"18";"17,3";"18,5";"18";"17,5";"17,2";96;94;96;314;"8,5";"2,9";3;10;2021
"6614";2021-10-03;"1300 UTC";"24,8";"951,2";"951,2";"949,9";"53,1";"18,1";"17,5";"18,1";"18";"17,5";"17,3";97;96;97;312;"7,4";"2,4";3;10;2021
"6615";2021-10-03;"1400 UTC";"7,2";"950,5";"951,2";"950,3";"115,7";"18";"17,5";"18,1";"17,9";"17,5";"17,4";97;96;97;293;"6,2";"2,7";3;10;2021
"6616";2021-10-03;"1500 UTC";"2,6";"950,8";"951,2";"949,9";"349,9";"18,4";"17,9";"18,6";"18";"18";"17,5";97;97;97;313;"6,3";"2,2";3;10;2021
"6617";2021-10-03;"1600 UTC";",6";"949,3";"950,8";"949,2";"546,7";"18,9";"18,1";"18,9";"18,4";"18,2";"17,8";97;95;95;266;"7,6";"2,2";3;10;2021
"6618";2021-10-03;"1700 UTC";"0";"948,3";"949,5";"948,3";"877,6";"19,9";"16,9";"19,9";"18,8";"18,2";"16,9";95;83;83;253;"6,9";"2,3";3;10;2021
"6619";2021-10-03;"1800 UTC";"0";"945,1";"948,4";"945";"1145,8";"20,8";"15,7";"21,2";"19,7";"17,1";"15,7";84;72;72;259;"8,1";"2,5";3;10;2021
"6620";2021-10-03;"1900 UTC";"0";"946";"946,2";"945";"1127";"21,2";"15,8";"22";"20,8";"16,4";"15,2";74;66;71;247;"7,6";"2,1";3;10;2021
"6621";2021-10-03;"2000 UTC";"0";"945,7";"946";"945,7";"701,9";"21,1";"15,6";"21,8";"21,1";"16,3";"15,3";72;68;71;243;"8";"3,1";3;10;2021
"6622";2021-10-03;"2100 UTC";"0";"946,7";"946,7";"945,7";"201,6";"20,6";"15,6";"21,2";"20,5";"15,9";"15,5";73;71;73;243;"5,9";"1,4";3;10;2021
"6623";2021-10-03;"2200 UTC";"0";"947,1";"947,6";"946,6";"";"19,5";"15,8";"20,6";"19,5";"15,9";"15,6";79;73;79;211;"4,5";"1,8";3;10;2021
"6624";2021-10-03;"2300 UTC";",2";"947,8";"948,3";"947,1";"";"18,8";"16,2";"19,5";"18,7";"16,2";"15,8";85;79;85;254;"8";"2,6";3;10;2021
"6625";2021-10-04;"0000 UTC";"0";"948";"948,1";"947,5";"";"18,8";"15,9";"18,8";"18,7";"16,3";"15,9";86;84;84;229;"7,2";"3";4;10;2021
"6626";2021-10-04;"0100 UTC";"0";"948,2";"948,9";"947,9";"";"19";"15,8";"19,1";"18,8";"15,9";"15,8";84;81;82;222;"7,2";"3,5";4;10;2021
"6627";2021-10-04;"0200 UTC";",6";"948,6";"949";"948,1";"";"18,6";"16,3";"19";"18,3";"16,4";"15,8";87;82;87;167;"7,2";"2,3";4;10;2021
"6628";2021-10-04;"0300 UTC";"7,4";"948";"949,2";"947,9";"";"18";"17";"18,6";"17,8";"17";"16,2";94;87;94;189;"6,3";"3,2";4;10;2021
"6629";2021-10-04;"0400 UTC";"0";"947,5";"948";"947,2";"";"18,1";"16,9";"18,1";"17,9";"17";"16,9";94;93;93;221;"7,9";"3,7";4;10;2021
"6630";2021-10-04;"0500 UTC";"0";"947";"947,7";"946,9";"";"18,2";"16,6";"18,3";"18";"16,9";"16,6";93;90;91;235;"7,2";"1,8";4;10;2021
"6631";2021-10-04;"0600 UTC";"0";"947,1";"947,1";"946,7";"";"17,9";"16,5";"18,2";"17,7";"16,6";"16,3";92;90;91;167;"3,9";"1,1";4;10;2021
"6632";2021-10-04;"0700 UTC";"0";"947,2";"947,4";"947,1";"";"17,8";"16,7";"17,9";"17,3";"16,7";"16";94;91;93;164;"3,2";"1,5";4;10;2021
"6633";2021-10-04;"0800 UTC";"0";"947,8";"947,8";"947";"";"18,2";"16,4";"18,2";"17,8";"16,7";"16,4";93;89;89;206;"4,2";",7";4;10;2021
"6634";2021-10-04;"0900 UTC";",4";"948,6";"948,6";"947,8";"3,5";"18";"16,6";"18,2";"18";"16,8";"16,3";92;89;92;238;"2";",9";4;10;2021
"6635";2021-10-04;"1000 UTC";",2";"948,9";"948,9";"948,5";"141,9";"18,7";"17,3";"18,8";"18";"17,5";"16,7";93;91;91;169;"3,2";"1,5";4;10;2021
"6636";2021-10-04;"1100 UTC";"0";"950,1";"950,1";"948,9";"192,3";"19,1";"17,5";"19,1";"18,7";"17,5";"17,2";91;90;91;186;"3,6";",6";4;10;2021
"6637";2021-10-04;"1200 UTC";"0";"950,8";"950,8";"950,1";"332,7";"19,4";"17,5";"19,5";"19,1";"17,7";"17,4";91;88;89;143;"3,9";"1,6";4;10;2021
"6638";2021-10-04;"1300 UTC";"0";"951,1";"951,4";"950,7";"294,7";"19,2";"17,7";"19,6";"19,2";"17,9";"17,5";91;88;91;120;"3,9";"1,1";4;10;2021
"6639";2021-10-04;"1400 UTC";"0";"951,1";"951,2";"950,9";"309,7";"19,8";"18,3";"19,8";"19,2";"18,3";"17,7";92;90;91;138;"3";"1,6";4;10;2021
"6640";2021-10-04;"1500 UTC";"0";"951,1";"951,1";"950,8";"608,7";"20,4";"18,6";"20,6";"19,7";"18,9";"18,1";91;88;89;103;"3,1";"1";4;10;2021
"6641";2021-10-04;"1600 UTC";"0";"950,8";"951,1";"950,5";"1008,4";"21";"18,6";"21,5";"20,3";"19,4";"18,5";90;85;86;33;"3,1";",8";4;10;2021
"6642";2021-10-04;"1700 UTC";"0";"950,3";"950,9";"950,3";"464,8";"21,4";"19";"21,4";"20,9";"19,3";"18,7";89;86;87;10;"3,7";"1,7";4;10;2021
"6643";2021-10-04;"1800 UTC";"0";"949,5";"950,4";"949,5";"505,5";"21,1";"18,8";"21,4";"21";"19,2";"18,7";88;86;87;337;"4,5";"2,2";4;10;2021
"6644";2021-10-04;"1900 UTC";"0";"949,1";"949,5";"949,1";"667,5";"21,4";"18,5";"21,4";"20,8";"19,1";"18,4";88;84;84;338;"6,9";"3,5";4;10;2021
"6645";2021-10-04;"2000 UTC";"0";"948,8";"949,1";"948,6";"466,8";"21,2";"18,8";"21,7";"21,2";"18,9";"18,4";86;83;86;329;"7,4";"3,1";4;10;2021
"6646";2021-10-04;"2100 UTC";"0";"949,9";"949,9";"948,8";"137,4";"21,4";"18,9";"21,4";"21,2";"19";"18,7";87;86;86;295;"6,4";",3";4;10;2021
"6647";2021-10-04;"2200 UTC";"0";"950,2";"950,2";"949,9";"1,9";"20,4";"18,9";"21,4";"20,2";"19";"18,5";91;86;91;303;"1,4";",1";4;10;2021
"6648";2021-10-04;"2300 UTC";"0";"950,8";"950,8";"950,2";"";"19,9";"18,8";"20,4";"19,7";"18,9";"18,6";93;91;93;163;"2,1";"0";4;10;2021
"6649";2021-10-05;"0000 UTC";"0";"951,5";"951,5";"950,8";"";"19,5";"18,6";"20";"19,3";"18,9";"18,4";95;93;95;227;"1";",1";5;10;2021
"6650";2021-10-05;"0100 UTC";"0";"951,8";"951,8";"951,5";"";"19,3";"18,4";"19,6";"19,2";"18,8";"18,4";95;95;95;302;",8";"0";5;10;2021
"6651";2021-10-05;"0200 UTC";"0";"952,3";"952,3";"951,8";"";"18,8";"18";"19,3";"18,8";"18,5";"18";95;95;95;225;",7";"0";5;10;2021
"6652";2021-10-05;"0300 UTC";"0";"952,2";"952,3";"952,1";"";"18,6";"17,9";"18,9";"18,5";"18,2";"17,8";96;95;96;88;",7";"0";5;10;2021
"6653";2021-10-05;"0400 UTC";"0";"951,9";"952,2";"951,9";"";"18,7";"18,1";"18,9";"18,6";"18,3";"17,9";96;96;96;264;"1,8";",7";5;10;2021
"6654";2021-10-05;"0500 UTC";",2";"951,6";"952";"951,6";"";"18,9";"18,3";"18,9";"18,7";"18,3";"18,1";96;96;96;253;"1,9";",9";5;10;2021
"6655";2021-10-05;"0600 UTC";"0";"951,4";"951,6";"951,4";"";"18,9";"18,3";"19";"18,8";"18,3";"18,1";96;96;96;246;"2,8";"1,6";5;10;2021
"6656";2021-10-05;"0700 UTC";"0";"951";"951,4";"951";"";"18,8";"18,1";"19,1";"18,7";"18,4";"18";96;96;96;253;"3,4";"1,3";5;10;2021
"6657";2021-10-05;"0800 UTC";"0";"951,5";"951,5";"951";"";"19,3";"18,4";"19,3";"18,8";"18,4";"18,1";96;95;95;245;"4,8";"2,2";5;10;2021
"6658";2021-10-05;"0900 UTC";"0";"952,6";"952,6";"951,5";"6,5";"18,9";"17,7";"19,5";"18,9";"18,5";"17,7";95;93;93;236;"5,3";"2,9";5;10;2021
"6659";2021-10-05;"1000 UTC";"0";"953,4";"953,4";"952,6";"165,3";"19,3";"17,2";"19,3";"18,9";"17,7";"17,2";93;88;88;213;"5,4";"1,8";5;10;2021
"6660";2021-10-05;"1100 UTC";"0";"953,9";"953,9";"953,4";"617,5";"19,8";"16,3";"20,1";"19,2";"17,3";"16,3";88;80;80;206;"5,7";"2,6";5;10;2021
"6661";2021-10-05;"1200 UTC";"0";"954,2";"954,3";"953,8";"1019,9";"20,8";"16,6";"20,8";"19,8";"16,8";"16,3";81;77;77;214;"6";"2,5";5;10;2021
"6662";2021-10-05;"1300 UTC";"0";"954,3";"954,5";"954,2";"1810,1";"22,2";"17";"22,4";"20,7";"17,4";"16,3";77;71;72;216;"6,4";"2,6";5;10;2021
"6663";2021-10-05;"1400 UTC";"0";"953,9";"954,4";"953,9";"2572,5";"24,6";"17,4";"24,9";"22,2";"18,5";"16,9";75;63;64;184;"5,5";"2,3";5;10;2021
"6664";2021-10-05;"1500 UTC";"0";"953,3";"953,9";"953,3";"1895";"24,4";"18";"25,1";"24,1";"18,1";"17";67;63;67;174;"6,4";"2";5;10;2021
"6665";2021-10-05;"1600 UTC";"0";"952,2";"953,3";"952,2";"2038,5";"25,7";"18,2";"25,8";"24,4";"18,6";"17,2";67;62;63;175;"4,6";"1,7";5;10;2021
"6666";2021-10-05;"1700 UTC";"0";"951,3";"952,2";"951,3";"2295,9";"26,5";"17,8";"27,2";"25,5";"18,9";"17,3";63;57;59;139;"4,6";"2";5;10;2021
"6667";2021-10-05;"1800 UTC";"0";"950,7";"951,3";"950,7";"1920,9";"26,6";"17,7";"27,7";"26,4";"18,8";"17,2";61;54;58;147;"5,8";"1";5;10;2021
