"Data";"hora";"precp";"press";"pressmax";"pressmin";"RADIACAOGLOBALKjmÂ²";"TEMPERATURADOARBULBOSECOHORARIAÂC";"TEMPERATURADOPONTODEORVALHOÂC";"TEMPERATURAMÃXIMANAHORAANTAUTÂC";"TEMPERATURAMÃNIMANAHORAANTAUTÂC";"TEMPERATURAORVALHOMAXNAHORAANTAUTÂC";"TEMPERATURAORVALHOMINNAHORAANTAUTÂC";"UMIDADERELMAXNAHORAANTAUT";"UMIDADERELMINNAHORAANTAUT";"UMIDADERELATIVADOARHORARIA";"VENTODIREÃÃƒOHORARIAgrÂgr";"VENTORAJADAMAXIMAms";"VENTOVELOCIDADEHORARIAms";"dia";"mes";"ano"
"5833";2021-09-01;"0000 UTC";"0";"956,6";"956,6";"956,2";"";"22,2";"9,1";"23";"22,2";"9,2";"8,9";43;41;43;234;"6,4";"2,9";1;9;2021
"5834";2021-09-01;"0100 UTC";"0";"957";"957";"956,6";"";"20,8";"10,5";"22,2";"20,8";"10,5";"9,1";52;43;52;232;"7,4";"3,2";1;9;2021
"5835";2021-09-01;"0200 UTC";"0";"957";"957,4";"957";"";"19,8";"11,3";"20,8";"19,8";"11,3";"10,5";58;52;58;220;"10";"4,5";1;9;2021
"5836";2021-09-01;"0300 UTC";"0";"957";"957,2";"957";"";"19";"10,9";"19,8";"19";"11,4";"10,9";60;58;59;222;"10";"3,6";1;9;2021
"5837";2021-09-01;"0400 UTC";"0";"956,7";"957";"956,7";"";"18,5";"10,4";"19,1";"18,5";"10,9";"10,4";59;59;59;220;"8,6";"4";1;9;2021
"5838";2021-09-01;"0500 UTC";"0";"956,1";"956,7";"956,1";"";"18,2";"10,1";"18,6";"18,1";"10,4";"10,1";59;59;59;220;"8,2";"4,1";1;9;2021
"5839";2021-09-01;"0600 UTC";"0";"955,9";"956,1";"955,9";"";"17,6";"10,1";"18,2";"17,6";"10,1";"10,1";61;59;61;227;"9,8";"4,9";1;9;2021
"5840";2021-09-01;"0700 UTC";"0";"955,9";"956";"955,8";"";"17,5";"10,1";"17,6";"17,3";"10,2";"10";63;61;62;225;"9,9";"5,1";1;9;2021
"5841";2021-09-01;"0800 UTC";"0";"956";"956";"955,9";"";"17,3";"10,3";"17,5";"17,2";"10,3";"10,1";64;62;63;227;"9,9";"4,5";1;9;2021
"5842";2021-09-01;"0900 UTC";"0";"956,8";"956,8";"956";"";"17";"10,5";"17,3";"17";"10,5";"10,2";66;63;66;227;"10,3";"4,9";1;9;2021
